recipient,kind,target,amount,share,amount_usd
ancestor:0,ancestor,0,0.24402190728636675,0.0596788119669031,976.087629145467
ancestor:1,ancestor,1,0.12541905427242728,0.030672902446448394,501.6762170897091
ancestor:2,ancestor,2,0.0883525267661568,0.02160778878549823,353.4101070646272
ancestor:3,ancestor,3,0.0651519363460152,0.015933774970091425,260.60774538406076
ancestor:4,ancestor,4,0.050120570438774076,0.012257653962926105,200.4822817550963
ancestor:5,ancestor,5,0.03986242457721695,0.00974888757875673,159.4496983088678
ancestor:6,ancestor,6,0.032642228832457126,0.007983092413037898,130.5689153298285
ancestor:7,ancestor,7,0.027457792351458052,0.006715169326358612,109.83116940583221
ancestor:8,ancestor,8,0.023609683202819094,0.005774062911514299,94.43873281127638
ancestor:9,ancestor,9,0.02058609383366258,0.005034603805429769,82.34437533465032
ancestor:10,ancestor,10,0.018000927014714063,0.004402366781275812,72.00370805885625
ancestor:11,ancestor,11,0.01584824208981359,0.003875898972357494,63.392968359254354
ancestor:12,ancestor,12,0.014018561610404011,0.0034284262085205325,56.07424644161604
ancestor:13,ancestor,13,0.012382985992899765,0.0030284243774548482,49.53194397159906
ancestor:14,ancestor,14,0.010837752613778215,0.0026505169456874328,43.351010455112856
ancestor:15,ancestor,15,0.009304579063767979,0.0022755589059721103,37.21831625507192
ancestor:16,ancestor,16,0.007719627538344405,0.0018879378718023876,30.878510153377622
ancestor:17,ancestor,17,0.006034305745258699,0.0014757699500294681,24.137222981034796
ancestor:18,ancestor,18,0.0042074521922440215,0.0010289885487453267,16.829808768976086
ancestor:19,ancestor,19,0.0022054134426970112,0.0005393632711899906,8.821653770788044
creator:0,creator,0,0.02857972506036704,0.006989552933630083,114.31890024146817
creator:1,creator,1,0.037982326967950286,0.009289084633395856,151.92930787180114
creator:2,creator,2,0.0756053285791548,0.018490291458448032,302.4213143166192
creator:3,creator,3,0.09398050100781435,0.02298418494704573,375.9220040312574
creator:4,creator,4,0.09209918060448391,0.022524082951088056,368.3967224179356
creator:5,creator,5,0.0892116952752556,0.02181790990319862,356.84678110102243
creator:6,creator,6,0.08654991890598583,0.021166936991765795,346.19967562394334
creator:7,creator,7,0.08441900292079399,0.020645793067387345,337.67601168317594
creator:8,creator,8,0.08352722581964106,0.020427697083596676,334.10890327856424
creator:9,creator,9,0.08404067088031114,0.020553266921042073,336.16268352124456
creator:10,creator,10,0.08587030951690126,0.021000729451659476,343.48123806760503
creator:11,creator,11,0.08451015791741978,0.020668086237553784,338.0406316696791
creator:12,creator,12,0.08254552269982073,0.020187608492590266,330.1820907992829
creator:13,creator,13,0.08098887141788544,0.019806908660408254,323.95548567154174
creator:14,creator,14,0.07984386869356569,0.01952688297318141,319.3754747742628
creator:15,creator,15,0.07895363643782088,0.019309164801939026,315.81454575128356
creator:16,creator,16,0.07829404961057938,0.019147854046373963,313.1761984423175
creator:17,creator,17,0.07773790176208284,0.01901184067263505,310.95160704833137
creator:18,creator,18,0.0772946225081031,0.018903430819022845,309.17849003241236
creator:19,creator,19,0.07692451530082338,0.018812916165332667,307.6980612032935
creator:20,creator,20,0.07660909853579091,0.018735776788704934,306.4363941431636
dev,dev,-1,0.817784065211276,0.20000000000000004,3271.136260845104
reinforce:0,reinforce,0,0.03328102601415866,0.00813931878351297,133.12410405663462
reinforce:1,reinforce,1,0.0378026642895774,0.009245145729224016,151.2106571583096
reinforce:2,reinforce,2,0.04699025050390718,0.011492092473522866,187.9610020156287
reinforce:3,reinforce,3,0.046049590302241955,0.011262041475544028,184.1983612089678
reinforce:4,reinforce,4,0.0446058476376278,0.01090895495159931,178.42339055051121
reinforce:5,reinforce,5,0.043274959452992916,0.010583468495882898,173.09983781197167
reinforce:6,reinforce,6,0.042209501460396995,0.010322896533693672,168.83800584158797
reinforce:7,reinforce,7,0.04176361290982053,0.010213848541798338,167.05445163928212
reinforce:8,reinforce,8,0.04202033544015557,0.010276633460521037,168.08134176062228
reinforce:9,reinforce,9,0.04293515475845063,0.010500364725829738,171.74061903380252
reinforce:10,reinforce,10,0.04225507895870989,0.010334043118776892,169.02031583483955
reinforce:11,reinforce,11,0.04127276134991036,0.010093804246295133,165.09104539964144
reinforce:12,reinforce,12,0.04049443570894272,0.009903454330204127,161.97774283577087
reinforce:13,reinforce,13,0.039921934346782845,0.009763441486590705,159.6877373871314
reinforce:14,reinforce,14,0.03947681821891044,0.009654582400969513,157.90727287564178
reinforce:15,reinforce,15,0.03914702480528969,0.009573927023186981,156.58809922115876
reinforce:16,reinforce,16,0.03886895088104142,0.009505920336317525,155.47580352416568
reinforce:17,reinforce,17,0.03864731125405155,0.009451715409511422,154.58924501620618
reinforce:18,reinforce,18,0.03846225765041169,0.009406458082666333,153.84903060164675
reinforce:19,reinforce,19,0.038304549267895456,0.009367888394352467,153.2181970715818
