recipient,kind,target,amount,share,amount_usd
ancestor:0,ancestor,0,0.016762357203233706,0.1973967619701773,67.04942881293482
ancestor:1,ancestor,1,0.0001807882261303976,0.0021289971337437033,0.7231529045215903
ancestor:2,ancestor,2,3.37237312670301e-05,0.000397137185000445,0.1348949250681204
ancestor:3,ancestor,3,5.288460279434632e-06,6.227793157676576e-05,0.021153841117738527
ancestor:4,ancestor,4,9.867874929262578e-07,1.1620600461773654e-05,0.003947149971705031
ancestor:5,ancestor,5,1.8779442968886944e-07,2.211503542560685e-06,0.0007511777187554778
ancestor:6,ancestor,6,6.848493193292022e-08,8.064918103939754e-07,0.00027393972773168086
ancestor:7,ancestor,7,1.1914688145454783e-08,1.4030967311348732e-07,4.765875258181913e-05
ancestor:8,ancestor,8,3.2610579553122975e-09,3.84028495020707e-08,1.304423182124919e-05
ancestor:9,ancestor,9,5.582627577223088e-10,6.574210259739978e-09,2.2330510308892354e-06
ancestor:10,ancestor,10,1.3341099046412468e-10,1.571073638961233e-09,5.336439618564987e-07
ancestor:11,ancestor,11,2.3879336565113255e-11,2.812076880833961e-10,9.551734626045301e-08
ancestor:12,ancestor,12,3.1190423715287876e-12,3.67304465071768e-11,1.2476169486115151e-08
ancestor:13,ancestor,13,5.300195241336036e-13,6.241612475885196e-12,2.120078096534414e-09
ancestor:14,ancestor,14,1.2067541198829206e-13,1.4210970024735279e-12,4.827016479531683e-10
ancestor:15,ancestor,15,1.921435075250274e-14,2.262719124713309e-13,7.685740301001095e-11
ancestor:16,ancestor,16,3.5284544511526886e-15,4.1551762378768164e-14,1.4113817804610755e-11
ancestor:17,ancestor,17,8.122887170406191e-16,9.565669111131652e-15,3.2491548681624767e-12
ancestor:18,ancestor,18,1.5202644272081568e-16,1.7902928068579974e-15,6.081057708832628e-13
ancestor:19,ancestor,19,4.1056142554404963e-17,4.834850791547441e-16,1.6422457021761984e-13
creator:0,creator,0,0.02857972506036704,0.33656037253674836,114.31890024146817
creator:1,creator,1,0.004155745709295772,0.04893886561659653,16.622982837183088
creator:2,creator,2,0.0009626726760220891,0.01133661971165169,3.8506907040883567
creator:3,creator,3,0.00021717063907289365,0.002557443468613904,0.8686825562915746
