recipient,kind,target,amount,share,amount_usd
ancestor:0,ancestor,0,0.016966489362154197,0.1973232067416416,67.86595744861678
ancestor:1,ancestor,1,0.00018940215302962286,0.002202779809177394,0.7576086121184914
ancestor:2,ancestor,2,3.193399533898445e-05,0.0003713978908575453,0.1277359813559378
ancestor:3,ancestor,3,7.412794846808938e-06,8.621208659423801e-05,0.029651179387235754
ancestor:4,ancestor,4,1.18189273085954e-06,1.3745616945250578e-05,0.00472757092343816
ancestor:5,ancestor,5,1.8485513384044068e-07,2.1498971893039754e-06,0.0007394205353617627
ancestor:6,ancestor,6,3.334913220968723e-08,3.8785617750394377e-07,0.0001333965288387489
ancestor:7,ancestor,7,8.038120779999297e-09,9.348473538810519e-08,3.215248311999719e-05
ancestor:8,ancestor,8,1.8390352221715833e-09,2.138829781481969e-08,7.356140888686333e-06
ancestor:9,ancestor,9,3.5250550783631484e-10,4.099700044931449e-09,1.4100220313452593e-06
ancestor:10,ancestor,10,7.348112785485013e-11,8.545982303006388e-10,2.939245114194005e-07
ancestor:11,ancestor,11,1.8805552123179732e-11,2.1871182483809739e-10,7.522220849271893e-08
ancestor:12,ancestor,12,3.6192468447770125e-12,4.2092466989310806e-11,1.447698737910805e-08
ancestor:13,ancestor,13,9.382864300792729e-13,1.0912433519594161e-11,3.753145720317092e-09
ancestor:14,ancestor,14,1.4928027232652427e-13,1.7361553949069455e-12,5.971210893060971e-10
ancestor:15,ancestor,15,4.096832074391584e-14,4.764686583921084e-13,1.6387328297566335e-10
ancestor:16,ancestor,16,1.0129652255661435e-14,1.178096083166985e-13,4.051860902264574e-11
ancestor:17,ancestor,17,2.594588546797341e-15,3.0175513702392893e-14,1.0378354187189364e-11
ancestor:18,ancestor,18,6.126990100437914e-16,7.12579549302354e-15,2.4507960401751657e-12
ancestor:19,ancestor,19,1.0515494689593653e-16,1.2229702257991873e-15,4.2061978758374614e-13
creator:0,creator,0,0.02857972506036704,0.3323871471776324,114.31890024146817
creator:1,creator,1,0.004533269327844098,0.05272270660712267,18.13307731137639
creator:2,creator,2,0.0010121414537025964,0.011771380222371779,4.048565814810385
creator:3,creator,3,0.0001977302848273335,0.0022996374228777838,0.790921139309334
creator:4,creator,4,5.7291478673116475e-05,0.0006663098092624125,0.2291659146924659
creator:5,creator,5,1.0737304808042895e-05,0.00012487671263399546,0.04294921923217158
creator:6,creator,6,1.8991171621851868e-06,2.208706117226407e-05,0.007596468648740747
creator:7,creator,7,3.699307568987488e-07,4.302358706359725e-06,0.0014797230275949951
creator:8,creator,8,1.0036854126259547e-07,1.1673035001627178e-06,0.00040147416505038186
creator:9,creator,9,2.6128358815475632e-08,3.038773336260343e-07,0.00010451343526190252
creator:10,creator,10,5.399686593988315e-09,6.279928931569759e-08,2.159874637595326e-05
creator:11,creator,11,1.1698553195692428e-09,1.360561976928984e-08,4.679421278276971e-06
creator:12,creator,12,3.4265102194910816e-10,3.985090669087832e-09,1.3706040877964326e-06
creator:13,creator,13,6.638154800278429e-11,7.72028888286204e-10,2.6552619201113713e-07
creator:14,creator,14,2.0243052745674248e-11,2.3543020578710176e-10,8.0972210982697e-08
creator:15,creator,15,3.0559866902075155e-12,3.554165393912456e-11,1.2223946760830062e-08
creator:16,creator,16,9.142574566435513e-13,1.0632972401160153e-11,3.657029826574205e-09
creator:17,creator,17,2.3654839965162006e-13,2.751098814406393e-12,9.461935986064802e-10
creator:18,creator,18,6.52015458415542e-14,7.583052589928411e-13,2.6080618336621677e-10
