generation,attempt,winner,winner_interest,best_avg_parent,threshold_parent,avg_over_threshold,embedded_parent,float_frac,fdv_parent,fdv_eth,fdv_usd,edge_volume_eth,protocol_fee_eth,creator_usd,dev_usd,ancestor_usd,reinforce_usd,fdv_vs_parent,backing_frac
1,1,c2,2.402516867937255,17179130.74337615,1500000.0,11.452753828917434,37090897.60165798,0.6334842774094401,242736812.6382271,16.31661651652056,65266.46606608225,1.0352790251860804,0.01038936427323943,16.622982837183088,8.311491418591544,8.311491418591544,8.311491418591544,0.2427368126382271,0.15280293581566443
2,2,c4,2.4792712521549674,13717006.125063393,1500000.0,9.144670750042263,32600085.960540894,0.6138784412086618,216144054.90464324,3.6822470842957413,14728.988337182966,0.23983060293040215,0.002406681690055223,3.850690704088357,1.9253453520441786,1.9253453520441783,1.9253453520441786,0.21614405490464325,0.15082573506323432
3,3,c3,2.268340597886532,14936372.300893676,1500000.0,9.957581533929117,32692025.265630916,0.6143032829247127,216673016.8553562,0.8259609379324624,3303.8437517298494,0.054104360267196325,0.0005429265976822341,0.8686825562915746,0.4343412781457873,0.4343412781457873,0.4343412781457873,0.2166730168553562,0.1508818483265733
4,4,c0,1.3545077474118687,11120384.649804782,1500000.0,7.413589766536521,25526675.666402,0.5777543134383275,177386132.9782563,0.150569185016887,602.2767400675481,0.009993229378483615,0.00010027787351986387,0.1604445976317822,0.0802222988158911,0.08022229881589105,0.0802222988158911,0.17738613297825628,0.14390457268455714
5,5,c0,1.910498611937306,14827705.132785862,1500000.0,9.885136755190574,32113567.052876778,0.6116128791476345,213355687.51339018,0.03304471849971777,132.17887399887107,0.002174266637131716,2.1818024326539664e-05,0.034908838922463464,0.017454419461231732,0.01745441946123172,0.017454419461231732,0.21335568751339018,0.15051657364822454
6,6,c3,1.5491436763476116,13306753.81808616,1500000.0,8.87116921205744,27191863.92510272,0.5869176442665348,186165962.92448923,0.006320636946384953,25.282547785539812,0.00041838619653863875,4.1983111383351596e-06,0.006717297821336256,0.003358648910668128,0.0033586489106681282,0.003358648910668128,0.18616596292448923,0.14606248907128103
7,7,c3,4.132613626914251,32631302.994278528,1500000.0,21.754201996185685,69525385.6944696,0.7284458960853775,480598303.3645813,0.003221709546561134,12.886838186244537,0.0001992561418827438,1.9996216594689185e-06,0.0031993946551502695,0.0015996973275751347,0.001599697327575135,0.0015996973275751347,0.4805983033645813,0.14466423457539285
8,8,c1,1.408684993191659,9897259.181122605,1500000.0,6.59817278741507,22440036.692047525,0.5595276163854414,161672463.01587462,0.0005416947198689143,2.166778879475657,3.5695782618765234e-05,3.58189862560714e-07,0.0005731037800971424,0.0002865518900485712,0.0002865518900485712,0.0002865518900485712,0.16167246301587462,0.13879937420044214
9,9,c3,2.622829683999798,22513190.7418326,1500000.0,15.008793827888399,49701656.21803952,0.6783372817290335,325659464.7883613,0.00018422816651329915,0.7369126660531966,1.1741127826708584e-05,1.178214338121922e-07,0.00018851429409950753,9.425714704975376e-05,9.425714704975371e-05,9.425714704975376e-05,0.32565946478836133,0.15261849137515318
10,10,c4,1.4526307677660897,10743265.942495873,1500000.0,7.162177294997249,23088445.10408846,0.5634986467514803,164912968.8377143,3.135719688388318e-05,0.12542878753553272,2.0746873982615634e-06,2.081819663021697e-08,3.330911460834715e-05,1.6654557304173574e-05,1.6654557304173574e-05,1.6654557304173574e-05,0.1649129688377143,0.140003816963656
