demand_regime,round_number,chains_still_running,mean_threshold_parent,min_threshold_parent
0.2,1,200,5000000.0,5000000.0
0.2,2,200,4675000.0,4500000.0
0.2,3,200,4384500.0,4050000.0
0.2,4,200,4152125.0,3645000.0
0.2,5,200,3909410.0,3280500.0
0.2,6,200,3703943.25,2952450.0
0.2,7,200,3523906.575,2657205.0
0.2,8,200,3337945.47,2391484.5
0.2,9,200,3192314.9602499995,2152336.0500000003
0.2,10,200,3047905.867725,1937102.4450000003
0.2,11,200,2921927.681475,1937102.4450000003
0.2,12,200,2800578.23595,1937102.4450000003
0.2,13,200,2692981.55385,1937102.4450000003
0.2,14,200,2607406.6455,1937102.4450000003
0.2,15,200,2523070.5309,1937102.4450000003
0.2,16,200,2438274.1749075,1743392.2005000003
0.2,17,200,2365652.13732225,1569052.9804500004
0.2,18,200,2287063.0637865,1569052.9804500004
0.2,19,200,2217492.3470085002,1569052.9804500004
0.2,20,200,2154857.6522520003,1569052.9804500004
0.2,21,200,2102230.214763525,1412147.6824050003
0.2,22,200,2057715.0879993003,1412147.6824050003
0.2,23,200,1994951.2105973253,1412147.6824050003
0.2,24,200,1944422.7408202728,1270932.9141645003
0.2,25,200,1909462.7742470503,1250000.0
0.2,26,199,1872698.4041725579,1250000.0
0.2,27,195,1824439.4862809952,1250000.0
0.2,28,184,1758883.689848147,1250000.0
0.2,29,172,1694375.5541096982,1250000.0
0.2,30,137,1597087.1469459347,1250000.0
0.2,31,91,1490715.1462126046,1250000.0
0.2,32,45,1376698.165094456,1250000.0
0.2,33,17,1266007.5225963825,1250000.0
0.2,34,5,1250000.0,1250000.0
0.2,35,1,1250000.0,1250000.0
0.35,1,200,5000000.0,5000000.0
0.35,2,200,4830000.0,4500000.0
0.35,3,200,4658750.0,4050000.0
0.35,4,200,4507425.0,3645000.0
0.35,5,200,4357052.5,3280500.0
0.35,6,200,4224290.0,3280500.0
0.35,7,200,4096857.25,2952450.0
0.35,8,200,3953249.5,2952450.0
0.35,9,200,3866723.0,2952450.0
0.35,10,200,3795073.525,2657205.0
0.35,11,200,3691867.575,2657205.0
0.35,12,200,3610091.9975,2391484.5
0.35,13,200,3509872.72,2391484.5
0.35,14,200,3433053.4675,2391484.5
0.35,15,200,3331557.5425,2391484.5
0.35,16,200,3265723.7575,2391484.5
0.35,17,200,3204015.5455,2152336.0500000003
0.35,18,200,3144896.482725,1937102.4450000003
0.35,19,200,3064776.7502249996,1937102.4450000003
0.35,20,200,3017703.3977249996,1937102.4450000003
0.35,21,200,2970317.1602249998,1937102.4450000003
0.35,22,200,2933054.1227249997,1937102.4450000003
0.35,23,197,2873096.14819797,1937102.4450000003
0.35,24,193,2822101.7971243523,1937102.4450000003
0.35,25,164,2690781.917652439,1937102.4450000003
0.35,26,106,2506020.0626886794,1937102.4450000003
0.35,27,58,2297474.4196551726,1937102.4450000003
0.35,28,23,2124262.1015217393,1937102.4450000003
0.35,29,4,1937102.4450000003,1937102.4450000003
0.35,30,1,1743392.2005000003,1743392.2005000003
0.5,1,200,5000000.0,5000000.0
0.5,2,200,4890000.0,4500000.0
0.5,3,200,4781750.0,4050000.0
0.5,4,200,4696975.0,3645000.0
0.5,5,200,4597625.0,3645000.0
0.5,6,200,4518927.5,3280500.0
0.5,7,200,4425955.0,3280500.0
0.5,8,200,4332737.5,3280500.0
0.5,9,200,4256842.5,3280500.0
0.5,10,200,4193352.5,3280500.0
0.5,11,200,4126904.5,2952450.0
0.5,12,200,4068804.25,2952450.0
0.5,13,200,4004991.25,2952450.0
0.5,14,200,3931562.025,2657205.0
0.5,15,200,3872638.05,2657205.0
0.5,16,200,3829534.8,2657205.0
0.5,17,200,3759278.7225,2391484.5
0.5,18,200,3721325.2725,2391484.5
0.5,19,200,3667608.2975,2391484.5
0.5,20,200,3629299.5475,2391484.5
0.5,21,199,3580134.218592965,2391484.5
0.5,22,187,3472398.3128342247,2391484.5
0.5,23,154,3310779.535714286,2391484.5
0.5,24,105,3094136.3571428573,2391484.5
0.5,25,51,2816984.6470588236,2391484.5
0.5,26,19,2546721.2131578946,2152336.0500000003
0.5,27,7,2323156.3714285716,2152336.0500000003
0.5,28,2,2152336.0500000003,2152336.0500000003
1.0,1,200,5000000.0,5000000.0
1.0,2,200,4975000.0,4500000.0
1.0,3,200,4950000.0,4500000.0
1.0,4,200,4937750.0,4050000.0
1.0,5,200,4903500.0,4050000.0
1.0,6,200,4886250.0,4050000.0
1.0,7,200,4854725.0,3645000.0
1.0,8,200,4839975.0,3645000.0
1.0,9,200,4815975.0,3645000.0
1.0,10,200,4801725.0,3645000.0
1.0,11,200,4777950.0,3645000.0
1.0,12,200,4768200.0,3645000.0
1.0,13,200,4743700.0,3645000.0
1.0,14,200,4736450.0,3645000.0
1.0,15,200,4716700.0,3645000.0
1.0,16,200,4690900.0,3645000.0
1.0,17,200,4654150.0,3645000.0
1.0,18,200,4620875.0,3645000.0
1.0,19,200,4604125.0,3645000.0
1.0,20,200,4578100.0,3645000.0
1.0,21,132,4328863.636363637,3645000.0
1.0,22,45,3978000.0,3645000.0
1.0,23,9,3604500.0,3280500.0
1.0,24,1,3280500.0,3280500.0
