demand_regime,round_number,chains_still_running,mean_threshold_parent,min_threshold_parent
0.2,1,200,1500000.0,1500000.0
0.2,2,200,1484250.0,1350000.0
0.2,3,200,1484325.0,1215000.0
0.2,4,200,1479150.0,1215000.0
0.2,5,200,1483575.0,1215000.0
0.2,6,200,1487325.0,1215000.0
0.2,7,200,1477575.0,1215000.0
0.2,8,200,1485975.0,1215000.0
0.2,9,200,1481467.5,1093500.0
0.2,10,200,1485150.0,1215000.0
0.2,11,200,1482150.0,1215000.0
0.2,12,200,1476225.0,1215000.0
0.2,13,200,1482225.0,1215000.0
0.2,14,200,1481400.0,1215000.0
0.2,15,200,1479975.0,1215000.0
0.2,16,200,1485967.5,1093500.0
0.2,17,200,1485825.0,1215000.0
0.2,18,200,1470067.5,1093500.0
0.2,19,200,1482825.0,1215000.0
0.2,20,200,1484250.0,1350000.0
0.2,21,182,1479478.021978022,1215000.0
0.2,22,141,1479893.6170212766,1215000.0
0.2,23,91,1472142.857142857,1215000.0
0.2,24,46,1493478.2608695652,1350000.0
0.2,25,16,1435312.5,1215000.0
0.2,26,6,1452500.0,1215000.0
0.2,27,2,1500000.0,1500000.0
0.2,28,1,1500000.0,1500000.0
0.35,1,200,1500000.0,1500000.0
0.35,2,200,1493250.0,1350000.0
0.35,3,200,1495575.0,1215000.0
0.35,4,200,1494750.0,1350000.0
0.35,5,200,1494000.0,1350000.0
0.35,6,200,1496250.0,1350000.0
0.35,7,200,1495500.0,1350000.0
0.35,8,200,1494000.0,1350000.0
0.35,9,200,1498500.0,1350000.0
0.35,10,200,1494000.0,1350000.0
0.35,11,200,1497000.0,1350000.0
0.35,12,200,1491000.0,1350000.0
0.35,13,200,1496250.0,1350000.0
0.35,14,200,1495575.0,1215000.0
0.35,15,200,1493250.0,1350000.0
0.35,16,200,1494075.0,1215000.0
0.35,17,200,1495500.0,1350000.0
0.35,18,200,1497000.0,1350000.0
0.35,19,200,1496250.0,1350000.0
0.35,20,200,1497750.0,1350000.0
0.35,21,93,1482580.6451612904,1215000.0
0.35,22,27,1488888.888888889,1350000.0
0.35,23,8,1481250.0,1350000.0
0.35,24,1,1500000.0,1500000.0
0.35,25,1,1500000.0,1500000.0
0.5,1,200,1500000.0,1500000.0
0.5,2,200,1497750.0,1350000.0
0.5,3,200,1498500.0,1350000.0
0.5,4,200,1498500.0,1350000.0
0.5,5,200,1499250.0,1350000.0
0.5,6,200,1497000.0,1350000.0
0.5,7,200,1500000.0,1500000.0
0.5,8,200,1498500.0,1350000.0
0.5,9,200,1499250.0,1350000.0
0.5,10,200,1498500.0,1350000.0
0.5,11,200,1497750.0,1350000.0
0.5,12,200,1498500.0,1350000.0
0.5,13,200,1498500.0,1350000.0
0.5,14,200,1500000.0,1500000.0
0.5,15,200,1499250.0,1350000.0
0.5,16,200,1498500.0,1350000.0
0.5,17,200,1497000.0,1350000.0
0.5,18,200,1498500.0,1350000.0
0.5,19,200,1499250.0,1350000.0
0.5,20,200,1497750.0,1350000.0
0.5,21,37,1495945.945945946,1350000.0
0.5,22,3,1400000.0,1350000.0
1.0,1,200,1500000.0,1500000.0
1.0,2,200,1500000.0,1500000.0
1.0,3,200,1499250.0,1350000.0
1.0,4,200,1500000.0,1500000.0
1.0,5,200,1500000.0,1500000.0
1.0,6,200,1500000.0,1500000.0
1.0,7,200,1500000.0,1500000.0
1.0,8,200,1498500.0,1350000.0
1.0,9,200,1500000.0,1500000.0
1.0,10,200,1500000.0,1500000.0
1.0,11,200,1499250.0,1350000.0
1.0,12,200,1499250.0,1350000.0
1.0,13,200,1500000.0,1500000.0
1.0,14,200,1500000.0,1500000.0
1.0,15,200,1500000.0,1500000.0
1.0,16,200,1500000.0,1500000.0
1.0,17,200,1500000.0,1500000.0
1.0,18,200,1500000.0,1500000.0
1.0,19,200,1500000.0,1500000.0
1.0,20,200,1500000.0,1500000.0
1.0,21,5,1500000.0,1500000.0
