demand_regime,round_number,chains_still_running,mean_threshold_parent,min_threshold_parent
0.2,1,200,1500000.0,1500000.0
0.2,2,200,1480500.0,1350000.0
0.2,3,200,1481400.0,1215000.0
0.2,4,200,1479375.0,1215000.0
0.2,5,200,1472550.0,1215000.0
0.2,6,200,1469092.5,1093500.0
0.2,7,200,1477875.0,1215000.0
0.2,8,200,1470367.5,1093500.0
0.2,9,200,1474125.0,1215000.0
0.2,10,200,1470300.0,1215000.0
0.2,11,200,1480650.0,1215000.0
0.2,12,200,1480725.0,1215000.0
0.2,13,200,1476300.0,1215000.0
0.2,14,200,1482225.0,1215000.0
0.2,15,200,1477725.0,1215000.0
0.2,16,200,1472085.0,1093500.0
0.2,17,200,1477650.0,1215000.0
0.2,18,200,1471192.5,1093500.0
0.2,19,200,1476150.0,1215000.0
0.2,20,200,1470375.0,1215000.0
0.2,21,191,1481387.4345549739,1215000.0
0.2,22,171,1472447.3684210526,1093500.0
0.2,23,132,1466250.0,1215000.0
0.2,24,88,1469488.6363636365,1215000.0
0.2,25,48,1459375.0,1350000.0
0.2,26,22,1472727.2727272727,1350000.0
0.2,27,9,1450000.0,1350000.0
0.2,28,1,1350000.0,1350000.0
0.35,1,200,1500000.0,1500000.0
0.35,2,200,1493250.0,1350000.0
0.35,3,200,1495500.0,1350000.0
0.35,4,200,1492500.0,1350000.0
0.35,5,200,1491750.0,1350000.0
0.35,6,200,1489575.0,1215000.0
0.35,7,200,1495500.0,1350000.0
0.35,8,200,1491750.0,1350000.0
0.35,9,200,1494000.0,1350000.0
0.35,10,200,1490325.0,1215000.0
0.35,11,200,1495500.0,1350000.0
0.35,12,200,1494000.0,1350000.0
0.35,13,200,1493250.0,1350000.0
0.35,14,200,1493325.0,1215000.0
0.35,15,200,1494000.0,1350000.0
0.35,16,200,1492500.0,1350000.0
0.35,17,200,1496250.0,1350000.0
0.35,18,200,1495500.0,1350000.0
0.35,19,200,1496250.0,1350000.0
0.35,20,200,1494000.0,1350000.0
0.35,21,122,1492622.950819672,1350000.0
0.35,22,36,1491666.6666666667,1350000.0
0.35,23,13,1453846.1538461538,1350000.0
0.35,24,1,1350000.0,1350000.0
0.5,1,200,1500000.0,1500000.0
0.5,2,200,1497000.0,1350000.0
0.5,3,200,1497750.0,1350000.0
0.5,4,200,1500000.0,1500000.0
0.5,5,200,1499250.0,1350000.0
0.5,6,200,1497000.0,1350000.0
0.5,7,200,1498500.0,1350000.0
0.5,8,200,1497750.0,1350000.0
0.5,9,200,1497000.0,1350000.0
0.5,10,200,1499250.0,1350000.0
0.5,11,200,1497750.0,1350000.0
0.5,12,200,1496250.0,1350000.0
0.5,13,200,1498500.0,1350000.0
0.5,14,200,1498500.0,1350000.0
0.5,15,200,1500000.0,1500000.0
0.5,16,200,1497750.0,1350000.0
0.5,17,200,1497750.0,1350000.0
0.5,18,200,1495575.0,1215000.0
0.5,19,200,1497000.0,1350000.0
0.5,20,200,1498500.0,1350000.0
0.5,21,51,1491176.4705882352,1350000.0
0.5,22,4,1462500.0,1350000.0
1.0,1,200,1500000.0,1500000.0
1.0,2,200,1500000.0,1500000.0
1.0,3,200,1500000.0,1500000.0
1.0,4,200,1500000.0,1500000.0
1.0,5,200,1500000.0,1500000.0
1.0,6,200,1499250.0,1350000.0
1.0,7,200,1499250.0,1350000.0
1.0,8,200,1500000.0,1500000.0
1.0,9,200,1500000.0,1500000.0
1.0,10,200,1500000.0,1500000.0
1.0,11,200,1500000.0,1500000.0
1.0,12,200,1499250.0,1350000.0
1.0,13,200,1500000.0,1500000.0
1.0,14,200,1499250.0,1350000.0
1.0,15,200,1500000.0,1500000.0
1.0,16,200,1500000.0,1500000.0
1.0,17,200,1500000.0,1500000.0
1.0,18,200,1500000.0,1500000.0
1.0,19,200,1499250.0,1350000.0
1.0,20,200,1500000.0,1500000.0
1.0,21,5,1500000.0,1500000.0
