shock,reinforcement,external_market,dst,mode,hops,uses_external,slippage_frac,slippage_usd_on_5k,protocol_fee_eth,hop_fee_legs,exhausted,tokens_out,link6_drawdown,excess_slippage_vs_healthy
0.0,none,healthy,10,FULL_LINE,11,False,0.11414505419590915,570.7252709795457,0.0125,11,False,2348167.5656157103,,0.0
0.0,none,healthy,10,PARENT_SOURCED,2,True,0.037330047993456184,186.65023996728092,0.0,2,False,2551783.865294936,,0.0
0.0,none,healthy,10,DEPTH_CAPPED(3),2,True,0.037330047993456184,186.65023996728092,0.0,2,False,2551783.865294936,,0.0
0.0,none,healthy,12,FULL_LINE,13,False,0.13085022599083784,654.2511299541892,0.0125,13,False,2303886.565918538,,0.0
0.0,none,healthy,12,PARENT_SOURCED,4,True,0.05690543435924256,284.52717179621277,0.0,4,False,2499894.684604285,,0.0
0.0,none,healthy,12,DEPTH_CAPPED(3),4,True,0.05690543435924256,284.52717179621277,0.0,4,False,2499894.684604285,,0.0
0.5,none,independent,10,FULL_LINE,11,False,0.25490250562596684,1274.5125281298342,0.0125,11,False,8863699.853395356,0.7771746833402869,0.1407574514300577
0.5,none,independent,10,PARENT_SOURCED,11,False,0.25490250562596684,1274.5125281298342,0.0125,11,False,8863699.853395356,0.7771746833402869,0.21757245763251065
0.5,none,independent,10,DEPTH_CAPPED(3),11,False,0.25490250562596684,1274.5125281298342,0.0125,11,False,8863699.853395356,0.7771746833402869,0.21757245763251065
0.5,none,independent,12,FULL_LINE,13,False,0.3025939422061753,1512.9697110308766,0.0125,13,False,8296361.23983668,0.7771746833402869,0.17174371621533746
0.5,none,independent,12,PARENT_SOURCED,13,False,0.3025939422061753,1512.9697110308766,0.0125,13,False,8296361.23983668,0.7771746833402869,0.24568850784693275
0.5,none,independent,12,DEPTH_CAPPED(3),13,False,0.3025939422061753,1512.9697110308766,0.0125,13,False,8296361.23983668,0.7771746833402869,0.24568850784693275
0.5,none,arbitraged,10,FULL_LINE,11,False,0.15894345930336617,794.7172965168309,0.0125,11,False,3148827.741744704,0.6786941642333255,0.04479840510745703
0.5,none,arbitraged,10,PARENT_SOURCED,2,True,0.06435231818470588,321.7615909235294,0.0,2,False,3502967.0829963875,0.6786941642333255,0.027022270191249698
0.5,none,arbitraged,10,DEPTH_CAPPED(3),2,True,0.06435231818470588,321.7615909235294,0.0,2,False,3502967.0829963875,0.6786941642333255,0.027022270191249698
0.5,none,arbitraged,12,FULL_LINE,13,False,0.17966642129409693,898.3321064704846,0.0125,13,False,3071243.1389860283,0.6786941642333255,0.04881619530325909
0.5,none,arbitraged,12,PARENT_SOURCED,4,True,0.08977830397166175,448.89151985830875,0.0,4,False,3407774.850924975,0.6786941642333255,0.0328728696124192
0.5,none,arbitraged,12,DEPTH_CAPPED(3),4,True,0.08977830397166175,448.89151985830875,0.0,4,False,3407774.850924975,0.6786941642333255,0.0328728696124192
0.5,fee_funded_3_rounds,independent,10,FULL_LINE,11,False,0.24773147564866949,1238.6573782433475,0.0125,11,False,8532206.720262814,0.7742997663981583,0.13358642145276034
0.5,fee_funded_3_rounds,independent,10,PARENT_SOURCED,11,False,0.24773147564866949,1238.6573782433475,0.0125,11,False,8532206.720262814,0.7742997663981583,0.2104014276552133
0.5,fee_funded_3_rounds,independent,10,DEPTH_CAPPED(3),11,False,0.24773147564866949,1238.6573782433475,0.0125,11,False,8532206.720262814,0.7742997663981583,0.2104014276552133
0.5,fee_funded_3_rounds,independent,12,FULL_LINE,13,False,0.29422953912925043,1471.147695646252,0.0125,13,False,8004827.098670492,0.7742997663981583,0.16337931313841259
0.5,fee_funded_3_rounds,independent,12,PARENT_SOURCED,13,False,0.29422953912925043,1471.147695646252,0.0125,13,False,8004827.098670492,0.7742997663981583,0.23732410477000787
0.5,fee_funded_3_rounds,independent,12,DEPTH_CAPPED(3),13,False,0.29422953912925043,1471.147695646252,0.0125,13,False,8004827.098670492,0.7742997663981583,0.23732410477000787
0.5,fee_funded_3_rounds,arbitraged,10,FULL_LINE,11,False,0.15662468671671625,783.1234335835812,0.0125,11,False,3126618.743916619,0.679076776275542,0.04247963252080711
0.5,fee_funded_3_rounds,arbitraged,10,PARENT_SOURCED,2,True,0.06410224668019349,320.51123340096746,0.0,2,False,3469624.2726472486,0.679076776275542,0.026772198686737303
0.5,fee_funded_3_rounds,arbitraged,10,DEPTH_CAPPED(3),2,True,0.06410224668019349,320.51123340096746,0.0,2,False,3469624.2726472486,0.679076776275542,0.026772198686737303
