curve,capital_multiple,capital_usd,p_top,p_win_h_25bps,p_win_h_50bps,p_win_h_100bps,p_win_h_15bps,cost_usd,cost_pct_of_capital,capital_deployed_usd,snipe_usd,hop_usd,impact_usd,mtm_usd,deployed_frac_of_capital
GENTLE_LIKE,0.5,800.7187428421946,0.0,0.0,0.0,0.0,0.0,1.2006277099704603,0.0014994375000000214,800.7187428421946,0.0,1.2006277099704212,3.910827217623592e-14,0.0,1.0
GENTLE_LIKE,1.0,1601.4374856843892,0.45,0.45,0.45,0.0,0.45,2.4012554199409206,0.0014994375000000214,1601.4374856843892,0.0,2.4012554199408425,7.821654435247183e-14,0.0,1.0
GENTLE_LIKE,2.0,3202.8749713687785,1.0,1.0,1.0,1.0,1.0,4.802510839881841,0.0014994375000000214,3202.8749713687785,0.0,4.802510839881685,1.5643308870494367e-13,0.0,1.0
GENTLE_LIKE,5.0,8007.187428421947,1.0,1.0,1.0,1.0,1.0,12.0062770997053,0.0014994375000001085,8007.187428421947,0.0,12.006277099704675,6.257323548197747e-13,0.0,1.0
GENTLE_LIKE,10.0,16014.374856843893,1.0,1.0,1.0,1.0,1.0,24.01255419940874,0.0014994374999999923,16014.374856843893,0.0,24.01255419940935,-6.111804395914078e-13,0.0,1.0
OVERRIDE,0.5,819.8210850686067,0.0,0.0,0.0,0.0,0.0,1.2292704782426591,0.001499437500000122,819.8210850686067,0.0,1.2292704782426347,2.432898327242583e-14,0.0,1.0
OVERRIDE,1.0,1639.6421701372135,0.625,0.625,0.625,0.0,0.625,2.4585409564853182,0.001499437500000122,1639.6421701372135,0.0,2.4585409564852694,4.865796654485166e-14,0.0,1.0
OVERRIDE,2.0,3279.284340274427,1.0,1.0,1.0,1.0,1.0,4.9170819129696905,0.0014994374999998334,3279.284340274427,0.0,4.91708191297054,-8.49468051455915e-13,1.4932494814363745e-14,1.0
OVERRIDE,5.0,8198.210850686068,1.0,1.0,1.0,1.0,1.0,12.292704782424495,0.0014994374999998663,8198.210850686068,0.0,12.292704782425417,-9.222276275977492e-13,0.0,1.0
OVERRIDE,10.0,16396.421701372135,1.0,1.0,1.0,1.0,1.0,24.585409564850824,0.0014994374999999782,16396.421701372135,0.0,24.58540956485083,-7.275957614183426e-15,2.986498962872749e-14,1.0
SINGLE_LIKE,0.5,805.00622474398,0.0,0.0,0.0,0.0,0.0,1.207056521114544,0.0014994374999999908,805.00622474398,0.0,1.207056521114583,-3.8880898500792685e-14,0.0,1.0
SINGLE_LIKE,1.0,1610.01244948796,0.5,0.5,0.5,0.0,0.5,2.414113042229088,0.0014994374999999908,1610.01244948796,0.0,2.414113042229166,-7.776179700158537e-14,0.0,1.0
SINGLE_LIKE,2.0,3220.02489897592,1.0,1.0,1.0,1.0,1.0,4.828226084459093,0.0014994375000002755,3220.02489897592,0.0,4.828226084458331,7.621565600857138e-13,1.4932494814363745e-14,1.0
SINGLE_LIKE,5.0,8050.0622474398,1.0,1.0,1.0,1.0,1.0,12.070565211145208,0.0014994374999999617,8050.0622474398,0.0,12.07056521114583,-6.22094376012683e-13,0.0,1.0
SINGLE_LIKE,10.0,16100.1244948796,1.0,1.0,1.0,1.0,1.0,24.14113042228855,0.0014994374999998462,16100.1244948796,0.0,24.14113042229166,-3.1068339012563228e-12,0.0,1.0
WALL_LIKE,0.5,767.0436139794512,0.0,0.0,0.0,0.0,0.0,1.1501339589363198,0.0014994375000000084,767.0436139794512,0.0,1.1501339589363033,1.637090463191271e-14,0.0,1.0
WALL_LIKE,1.0,1534.0872279589023,0.325,0.325,0.325,0.0,0.325,2.300267917872872,0.0014994375000001601,1534.0872279589023,0.0,2.300267917872606,2.660272002685815e-13,0.0,1.0
WALL_LIKE,2.0,3068.1744559178046,1.0,1.0,1.0,1.0,1.0,4.6005358357447985,0.0014994374999998518,3068.1744559178046,0.0,4.600535835745213,-4.147295840084553e-13,1.4932494814363745e-14,1.0
WALL_LIKE,5.0,7670.436139794512,1.0,1.0,1.0,1.0,1.0,11.501339589362964,0.001499437499999978,7670.436139794512,0.0,11.501339589363266,-3.019522409886122e-13,0.0,1.0
WALL_LIKE,10.0,15340.872279589024,1.0,1.0,1.0,1.0,1.0,23.0026791787259,0.001499437499999976,15340.872279589024,0.0,23.00267917872653,-6.330083124339581e-13,2.986498962872749e-14,1.0
