curve,capital_multiple,capital_usd,p_top,p_win_h_25bps,p_win_h_50bps,p_win_h_100bps,p_win_h_15bps,cost_usd,cost_pct_of_capital,capital_deployed_usd,snipe_usd,hop_usd,impact_usd,mtm_usd,deployed_frac_of_capital
GENTLE_LIKE,0.5,760.0335638481705,0.0,0.0,0.0,0.0,0.0,1.1396228268926498,0.001499437500000077,760.0335638481705,0.0,1.1396228268926691,-1.9326762412674726e-14,0.0,1.0
GENTLE_LIKE,1.0,1520.067127696341,0.2,0.2,0.2,0.0,0.2,2.279245653785998,0.0014994375000005368,1520.067127696341,0.0,2.279245653785338,6.602931534871459e-13,0.0,1.0
GENTLE_LIKE,2.0,3040.134255392682,1.0,1.0,1.0,1.0,1.0,4.558491307570119,0.0014994374999999192,3040.134255392682,0.0,4.5584913075706766,-5.57520252186805e-13,1.4932494814363745e-14,1.0
GENTLE_LIKE,5.0,7600.335638481704,1.0,1.0,1.0,1.0,1.0,11.396228268925102,0.0014994374999998934,7600.335638481704,0.0,11.396228268926224,-1.1241354513913393e-12,0.0,1.0
GENTLE_LIKE,10.0,15200.671276963409,1.0,1.0,1.0,1.0,1.0,22.792456537852065,0.001499437500000016,15200.671276963409,0.0,22.79245653785245,-3.8562575355172156e-13,0.0,1.0
OVERRIDE,0.5,813.9038784537099,0.0,0.0,0.0,0.0,0.0,1.2203979967490304,0.0014994375000001176,813.9038784537099,0.0,1.2203979967490086,2.1827872842550278e-14,0.0,1.0
OVERRIDE,1.0,1627.8077569074198,0.45,0.45,0.45,0.0,0.45,2.440795993498992,0.0014994375000006899,1627.8077569074198,0.0,2.4407959934980163,9.75887815002352e-13,0.0,1.0
OVERRIDE,2.0,3255.6155138148397,1.0,1.0,1.0,1.0,1.0,4.881591986996588,0.0014994375000002608,3255.6155138148397,0.0,4.8815919869960345,5.529727786779404e-13,0.0,1.0
OVERRIDE,5.0,8139.038784537099,1.0,1.0,1.0,1.0,1.0,12.20397996749077,0.001499437500000175,8139.0387845371,0.0,12.203979967489621,1.1496013030409813e-12,0.0,1.0000000000000002
OVERRIDE,10.0,16278.077569074198,1.0,1.0,1.0,1.0,1.0,24.40795993497968,0.0014994375000000604,16278.0775690742,0.0,24.407959934979242,4.3655745685100554e-13,0.0,1.0000000000000002
SINGLE_LIKE,0.5,800.6931472441595,0.0,0.0,0.0,0.0,0.0,1.2005893309711246,0.0014994375000002625,800.6931472441595,0.0,1.2005893309709763,1.482476363889873e-13,0.0,1.0
SINGLE_LIKE,1.0,1601.386294488319,0.45,0.45,0.45,0.0,0.45,2.401178661941085,0.0014994374999995356,1601.386294488319,0.0,2.4011786619419535,-8.685674401931465e-13,0.0,1.0
SINGLE_LIKE,2.0,3202.772588976638,1.0,1.0,1.0,1.0,1.0,4.802357323884964,0.001499437500000408,3202.772588976638,0.0,4.802357323883905,1.0586518328636884e-12,0.0,1.0
SINGLE_LIKE,5.0,8006.931472441594,1.0,1.0,1.0,1.0,1.0,12.005893309709617,0.0014994375000000589,8006.931472441596,0.0,12.0058933097093,3.1650415621697906e-13,0.0,1.0000000000000002
SINGLE_LIKE,10.0,16013.862944883189,1.0,1.0,1.0,1.0,1.0,24.011786619419233,0.0014994375000000589,16013.862944883193,0.0,24.0117866194186,6.330083124339581e-13,0.0,1.0000000000000002
WALL_LIKE,0.5,794.0776164539537,0.0,0.0,0.0,0.0,0.0,1.1906697560216999,0.0014994375000000311,794.0776164539537,0.0,1.1906697560216701,2.97859514830634e-14,0.0,1.0
WALL_LIKE,1.0,1588.1552329079075,0.475,0.475,0.475,0.0,0.475,2.3813395120433998,0.0014994375000000311,1588.1552329079075,0.0,2.3813395120433403,5.95719029661268e-14,0.0,1.0
WALL_LIKE,2.0,3176.310465815815,1.0,1.0,1.0,1.0,1.0,4.762679024087265,0.0014994375000001777,3176.310465815815,0.0,4.76267902408668,5.857145879417658e-13,0.0,1.0
WALL_LIKE,5.0,7940.776164539537,1.0,1.0,1.0,1.0,1.0,11.906697560216301,0.0014994374999999433,7940.776164539537,0.0,11.906697560217399,-1.0986695997416973e-12,0.0,1.0
WALL_LIKE,10.0,15881.552329079073,1.0,1.0,1.0,1.0,1.0,23.813395120434464,0.0014994375000000604,15881.552329079073,0.0,23.813395120434798,-3.346940502524376e-13,0.0,1.0
