strategy,capital_multiple,capital_usd,attacker_avg,best_other_avg,is_top,snipe_usd,hop_usd,impact_usd,mtm_usd,cost_usd,cost_pct_of_capital
block1_sweep,0.5,802.4562575860019,136827.01192366297,6558733.129117095,0.0,2304.6543717870018,2.7896254375239793,-3514.1488172240124,0.0,-1206.7048199994867,-0.5012546617928517
block1_sweep,1.0,1604.9125151720039,273654.02384732594,6553431.125175149,0.0,4609.3087435740035,3.4973518937355825,-4252.432326031525,0.0,360.37376943621473,0.0748480609855531
block1_sweep,2.0,3209.8250303440077,547308.0476946519,6754055.231120823,0.0,9218.617487148007,4.153520172654376,-4716.619832307329,0.0,4506.151175013333,0.46795397801173333
block1_sweep,5.0,8024.562575860019,1368270.1192366297,7855935.194646945,0.0,23046.543717870016,5.529944812275818,-5319.742088288277,0.0,17732.331574394015,0.7365855939918562
block1_sweep,10.0,16049.125151720038,2736540.2384732594,9107957.250058284,0.0,46093.08743574003,7.096870584905398,-5355.458790381568,0.0,40744.72551594337,0.8462501876948441
dynastic,0.5,802.4562575860019,3190846.003653131,6729654.637782206,0.0,0.0,0.6018421931895428,-2485.240625814582,3287.0950412073944,-2484.638783621392,-3.096291866544645
dynastic,1.0,1604.9125151720039,6381692.007306262,6813255.260468276,0.3,0.0,1.2036843863790856,-9940.96250325833,11544.671334043953,-9939.75881887195,-6.193333733089291
dynastic,2.0,3209.8250303440077,12763384.014612524,6461142.701067505,1.0,0.0,2.407368772758171,-39763.850013033305,42971.267674604554,-39761.44264426054,-12.387417466178578
dynastic,5.0,8024.562575860019,31492450.720181443,6388674.402892364,1.0,0.0,5.939956233753823,-242085.99831122934,250000.0,-242080.0583549956,-30.565889144863792
dynastic,10.0,16049.125151720038,31492450.720181443,6570290.302746485,1.0,0.0,5.939956233753823,-242085.99831122934,250000.0,-242080.0583549956,-30.565889144863792
late_spike,0.5,802.4562575860019,5345.696102618749,6332523.388714141,0.0,0.0,1.203233004734152,-1.155058271251619e-13,0.0,1.2032330047340365,0.0014994374999999075
late_spike,1.0,1604.9125151720039,10691.392205237498,6511663.873436048,0.0,0.0,2.406466009468304,1.8189894035458565e-15,0.0,2.4064660094683057,0.0014994375000000526
late_spike,2.0,3209.8250303440077,21382.784410474997,6653476.8015562985,0.0,0.0,4.812932018936608,4.69299266114831e-13,0.0,4.812932018937078,0.0014994375000001977
late_spike,5.0,8024.562575860019,52760.011258471175,6673620.231011604,0.0,0.0,11.87545750033183,2.0554580260068181e-13,0.0,11.875457500332036,0.001499437500000089
late_spike,10.0,16049.125151720038,52760.011258471175,6601378.15371501,0.0,0.0,11.87545750033183,2.0554580260068181e-13,0.0,11.875457500332036,0.001499437500000089
self_fund_win,0.5,802.4562575860019,3190846.003653131,6539502.37699051,0.0,0.0,1.203233004734152,-1.155058271251619e-13,0.0,1.2032330047340365,0.0014994374999999075
self_fund_win,1.0,1604.9125151720039,6381692.007306262,6420063.868258762,0.45,0.0,2.406466009468304,1.8189894035458565e-15,0.0,2.4064660094683057,0.0014994375000000526
self_fund_win,2.0,3209.8250303440077,12763384.014612524,6630288.504542395,1.0,0.0,4.812932018936608,4.69299266114831e-13,0.0,4.812932018937078,0.0014994375000001977
self_fund_win,5.0,8024.562575860019,31492450.720181443,6426396.064706987,1.0,0.0,11.87545750033183,2.0554580260068181e-13,0.0,11.875457500332036,0.001499437500000089
self_fund_win,10.0,16049.125151720038,31492450.720181443,6739323.352130924,1.0,0.0,11.87545750033183,2.0554580260068181e-13,0.0,11.875457500332036,0.001499437500000089
