strategy,capital_multiple,capital_usd,attacker_avg,best_other_avg,is_top,snipe_usd,hop_usd,impact_usd,mtm_usd,cost_usd,cost_pct_of_capital
block1_sweep,0.5,805.00622474398,137269.43437195217,6576035.767502711,0.0,2311.9778774647148,2.674553018404514,-3360.066378269147,0.0,-1045.4139477860278,-0.4328802749811058
block1_sweep,1.0,1610.01244948796,274538.86874390434,7011007.755433591,0.0,4623.9557549294295,3.486433776454691,-4236.569742732512,0.0,390.8724459733723,0.08092534648778302
block1_sweep,2.0,3220.02489897592,549077.7374878087,7217936.221451792,0.0,9247.911509858859,4.153964836359338,-4714.602530064965,0.0,4537.462944630253,0.4697130288312703
block1_sweep,5.0,8050.0622474398,1372694.3437195215,7790755.214984536,0.0,23119.77877464715,5.327778515232178,-5043.6615576075255,0.0,18081.444995554855,0.7487082890282573
block1_sweep,10.0,16100.1244948796,2745388.687439043,9257002.843686229,0.0,46239.5575492943,7.041730870242131,-5268.888234918752,0.0,40977.71104524579,0.8483932543146511
dynastic,0.5,805.00622474398,3206527.0018250933,6361547.288604369,0.0,0.0,0.6037546685580164,-1757.0960309867235,2561.4985010621454,-1756.4922763181653,-2.181961110768791
dynastic,1.0,1610.01244948796,6413054.003650187,6609592.748052563,0.3,0.0,1.2075093371160328,-5501.03078466959,7109.835724820432,-5499.823275332474,-3.416012886783334
dynastic,2.0,3220.02489897592,12826108.007300373,6531243.465503427,1.0,0.0,2.4150186742320656,-11190.284788436646,14407.894668738334,-11187.869769762414,-3.474466850650921
dynastic,5.0,8050.0622474398,32065270.01825093,6596505.43336463,1.0,0.0,6.037546685580164,-24649.03623720387,32693.06093795809,-24642.99869051829,-3.061218402175166
dynastic,10.0,16100.1244948796,64130540.03650186,6354274.174170332,1.0,0.0,12.075093371160328,-62309.74125528454,78397.79065679299,-62297.66616191338,-3.869390338051498
late_spike,0.5,805.00622474398,3575.1220892240976,6706557.2679291265,0.0,0.0,1.207056521114583,-3.8880898500792685e-14,0.0,1.207056521114544,0.0014994374999999908
late_spike,1.0,1610.01244948796,7150.244178448195,6463661.735786721,0.0,0.0,2.414113042229166,-7.776179700158537e-14,0.0,2.414113042229088,0.0014994374999999908
late_spike,2.0,3220.02489897592,14300.48835689639,6485401.128209026,0.0,0.0,4.828226084458331,7.621565600857137e-13,1.4932494814363745e-14,4.828226084459093,0.0014994375000002755
late_spike,5.0,8050.0622474398,35751.22089224098,6453786.069526425,0.0,0.0,12.07056521114583,-6.22094376012683e-13,0.0,12.070565211145208,0.0014994374999999617
late_spike,10.0,16100.1244948796,71502.44178448195,6557544.595087918,0.0,0.0,24.14113042229166,-3.1068339012563224e-12,0.0,24.14113042228855,0.0014994374999998462
self_fund_win,0.5,805.00622474398,3206527.0018250933,6641806.625453781,0.0,0.0,1.207056521114583,-3.8880898500792685e-14,0.0,1.207056521114544,0.0014994374999999908
self_fund_win,1.0,1610.01244948796,6413054.003650187,6189378.620405778,0.6,0.0,2.414113042229166,-7.776179700158537e-14,0.0,2.414113042229088,0.0014994374999999908
self_fund_win,2.0,3220.02489897592,12826108.007300373,6465698.263311223,1.0,0.0,4.828226084458331,7.621565600857137e-13,1.4932494814363745e-14,4.828226084459093,0.0014994375000002755
self_fund_win,5.0,8050.0622474398,32065270.01825093,6427759.273206268,1.0,0.0,12.07056521114583,-6.22094376012683e-13,0.0,12.070565211145208,0.0014994374999999617
self_fund_win,10.0,16100.1244948796,64130540.03650186,6498578.689259654,1.0,0.0,24.14113042229166,-3.1068339012563224e-12,0.0,24.14113042228855,0.0014994374999998462
