strategy,capital_multiple,capital_usd,attacker_avg,best_other_avg,is_top,snipe_usd,hop_usd,impact_usd,mtm_usd,cost_usd,cost_pct_of_capital
block1_sweep,0.5,800.6931472441595,136526.38354986015,6916750.808887715,0.0,2299.59071888523,2.844118750724111,-3587.2577551464506,0.0,-1284.8229175104964,-0.5348794445298733
block1_sweep,1.0,1601.386294488319,273052.7670997203,6784738.999985822,0.0,4599.18143777046,3.4556050036615225,-4197.672179910637,0.0,404.9648628634851,0.08429464401298231
block1_sweep,2.0,3202.772588976638,546105.5341994406,7112507.8896820275,0.0,9198.36287554092,4.080021522458569,-4620.4263800019735,0.0,4582.016517061407,0.4768802019466797
block1_sweep,5.0,8006.931472441594,1365263.8354986012,7987379.636375235,0.0,22995.907188852303,5.445127901741961,-5211.1647441322,0.0,17790.187572621846,0.7406161204972819
block1_sweep,10.0,16013.862944883189,2730527.6709972024,8970611.349013105,0.0,45991.814377704606,6.990017528940713,-5222.011788873455,0.0,40776.79260636009,0.8487810997822411
dynastic,0.5,800.6931472441595,3183835.261902308,6431872.796220321,0.0,0.0,0.6005198604331817,-2212.2061704997627,3012.2987978834894,-2211.6056506393297,-2.762113873774585
dynastic,1.0,1601.386294488319,6367670.523804616,6700518.814534329,0.45,0.0,1.2010397208663635,-5322.455878172617,6922.641132940071,-5321.254838451751,-3.3229051958084974
dynastic,2.0,3202.772588976638,12735341.047609232,6503968.553553442,1.0,0.0,2.402079441732727,-7310.233232055034,10510.60374158994,-7307.831152613301,-2.281720275040922
dynastic,5.0,8006.931472441594,31838352.619023077,6596208.831125384,1.0,0.0,6.005198604331352,-16853.58262701783,24854.508900855093,-16847.5774284135,-2.1041240937804706
dynastic,10.0,16013.862944883189,63676705.238046154,6392055.487983471,1.0,0.0,12.010397208662704,-44692.556063007585,60694.40861068212,-44680.54566579893,-2.7901166520271374
late_spike,0.5,800.6931472441595,5333.950849224842,6277052.093054253,0.0,0.0,1.2005893309709763,1.482476363889873e-13,0.0,1.2005893309711246,0.0014994375000002625
late_spike,1.0,1601.386294488319,10667.901698449685,6205471.199144293,0.0,0.0,2.4011786619419535,-8.685674401931465e-13,0.0,2.401178661941085,0.0014994374999995356
late_spike,2.0,3202.772588976638,21335.80339689937,6496652.998716538,0.0,0.0,4.802357323883905,1.0586518328636884e-12,0.0,4.802357323884964,0.001499437500000408
late_spike,5.0,8006.931472441594,53339.508492248424,6382067.777773178,0.0,0.0,12.0058933097093,3.1650415621697906e-13,0.0,12.005893309709617,0.0014994375000000589
late_spike,10.0,16013.862944883189,106679.01698449685,6365919.13222809,0.0,0.0,24.0117866194186,6.330083124339581e-13,0.0,24.011786619419233,0.0014994375000000589
self_fund_win,0.5,800.6931472441595,3183835.261902308,6802308.560768937,0.0,0.0,1.2005893309709763,1.482476363889873e-13,0.0,1.2005893309711246,0.0014994375000002625
self_fund_win,1.0,1601.386294488319,6367670.523804616,6457380.900036774,0.45,0.0,2.4011786619419535,-8.685674401931465e-13,0.0,2.401178661941085,0.0014994374999995356
self_fund_win,2.0,3202.772588976638,12735341.047609232,6378613.103781111,1.0,0.0,4.802357323883905,1.0586518328636884e-12,0.0,4.802357323884964,0.001499437500000408
self_fund_win,5.0,8006.931472441594,31838352.619023077,6563875.063256433,1.0,0.0,12.0058933097093,3.1650415621697906e-13,0.0,12.005893309709617,0.0014994375000000589
self_fund_win,10.0,16013.862944883189,63676705.238046154,6422361.145966414,1.0,0.0,24.0117866194186,6.330083124339581e-13,0.0,24.011786619419233,0.0014994375000000589
