links,dst,size_label,size_eth,size_usd,mode,hops,uses_external,terminal_fdv_usd,edge_fee_usd,hop_fee_legs,total_fee_pct_of_trade,effective_loss_frac,exhausted
10,9,"$1,000",0.25,1000.0,FULL_LINE,10,False,1886268.592530814,10.0,10,0.0175,0.03639521475115903,False
10,9,"$1,000",0.25,1000.0,BEST,5,True,1886268.592530814,0.0,5,0.00375,0.018689399853855093,False
10,9,"$1,000",0.25,1000.0,DEPTH_CAPPED(5),5,True,1886268.592530814,0.0,5,0.00375,0.018689399853855093,False
10,9,"$5,000",1.25,5000.0,FULL_LINE,10,False,1886268.592530814,50.0,10,0.0175,0.10555908769392186,False
10,9,"$5,000",1.25,5000.0,BEST,5,True,1886268.592530814,0.0,5,0.00375,0.06640817128873455,False
10,9,"$5,000",1.25,5000.0,DEPTH_CAPPED(5),5,True,1886268.592530814,0.0,5,0.00375,0.06640817128873455,False
10,9,"$10,000",2.5,10000.0,FULL_LINE,10,False,1886268.592530814,100.0,10,0.0175,0.17920133149671535,False
10,9,"$10,000",2.5,10000.0,BEST,5,True,1886268.592530814,0.0,5,0.00375,0.11990433723997462,False
10,9,"$10,000",2.5,10000.0,DEPTH_CAPPED(5),5,True,1886268.592530814,0.0,5,0.00375,0.11990433723997462,False
10,9,0.5% of terminal FDV,2.3578357406635173,9431.34296265407,FULL_LINE,10,False,1886268.592530814,94.3134296265407,10,0.0175,0.17144282275064804,False
10,9,0.5% of terminal FDV,2.3578357406635173,9431.34296265407,BEST,5,True,1886268.592530814,0.0,5,0.00375,0.11413115244887617,False
10,9,0.5% of terminal FDV,2.3578357406635173,9431.34296265407,DEPTH_CAPPED(5),5,True,1886268.592530814,0.0,5,0.00375,0.11413115244887617,False
20,19,"$1,000",0.25,1000.0,FULL_LINE,20,False,1886268.592530814,10.0,20,0.025,0.06160296047166436,False
20,19,"$1,000",0.25,1000.0,BEST,2,True,1886268.592530814,0.0,2,0.0015,0.010650351384859258,False
20,19,"$1,000",0.25,1000.0,DEPTH_CAPPED(5),2,True,1886268.592530814,0.0,2,0.0015,0.010650351384859258,False
20,19,"$5,000",1.25,5000.0,FULL_LINE,20,False,1886268.592530814,50.0,20,0.025,0.1848346928492598,False
20,19,"$5,000",1.25,5000.0,BEST,2,True,1886268.592530814,0.0,2,0.0015,0.037330047993456184,False
20,19,"$5,000",1.25,5000.0,DEPTH_CAPPED(5),2,True,1886268.592530814,0.0,2,0.0015,0.037330047993456184,False
20,19,"$10,000",2.5,10000.0,FULL_LINE,20,False,1886268.592530814,100.0,20,0.025,0.299777545504339,False
20,19,"$10,000",2.5,10000.0,BEST,2,True,1886268.592530814,0.0,2,0.0015,0.06872214807462351,False
20,19,"$10,000",2.5,10000.0,DEPTH_CAPPED(5),2,True,1886268.592530814,0.0,2,0.0015,0.06872214807462351,False
20,19,0.5% of terminal FDV,2.3578357406635173,9431.34296265407,FULL_LINE,20,False,1886268.592530814,94.3134296265407,20,0.025,0.28836522768976014,False
20,19,0.5% of terminal FDV,2.3578357406635173,9431.34296265407,BEST,2,True,1886268.592530814,0.0,2,0.0015,0.0652554476754551,False
20,19,0.5% of terminal FDV,2.3578357406635173,9431.34296265407,DEPTH_CAPPED(5),2,True,1886268.592530814,0.0,2,0.0015,0.0652554476754551,False
50,49,"$1,000",0.25,1000.0,FULL_LINE,50,False,1886268.592530814,10.0,50,0.0475,0.1308462858981022,False
50,49,"$1,000",0.25,1000.0,BEST,7,True,1886268.592530814,0.0,7,0.00525,0.02398644883086143,False
50,49,"$1,000",0.25,1000.0,DEPTH_CAPPED(5),7,True,1886268.592530814,0.0,7,0.00525,0.02398644883086143,False
50,49,"$5,000",1.25,5000.0,FULL_LINE,50,False,1886268.592530814,50.0,50,0.0475,0.3580968389827095,False
50,49,"$5,000",1.25,5000.0,BEST,7,True,1886268.592530814,0.0,7,0.00525,0.08487084717713134,False
50,49,"$5,000",1.25,5000.0,DEPTH_CAPPED(5),7,True,1886268.592530814,0.0,7,0.00525,0.08487084717713134,False
50,49,"$10,000",2.5,10000.0,FULL_LINE,50,False,1886268.592530814,100.0,50,0.0475,0.5162119859223837,False
50,49,"$10,000",2.5,10000.0,BEST,7,True,1886268.592530814,0.0,7,0.00525,0.15106712022049462,False
50,49,"$10,000",2.5,10000.0,DEPTH_CAPPED(5),7,True,1886268.592530814,0.0,7,0.00525,0.15106712022049462,False
50,49,0.5% of terminal FDV,2.3578357406635173,9431.34296265407,FULL_LINE,50,False,1886268.592530814,94.3134296265407,50,0.0475,0.5022682311315951,False
50,49,0.5% of terminal FDV,2.3578357406635173,9431.34296265407,BEST,7,True,1886268.592530814,0.0,7,0.00525,0.14402517645147195,False
50,49,0.5% of terminal FDV,2.3578357406635173,9431.34296265407,DEPTH_CAPPED(5),7,True,1886268.592530814,0.0,7,0.00525,0.14402517645147195,False
100,99,"$1,000",0.25,1000.0,FULL_LINE,100,False,1886268.592530814,10.0,100,0.08499999999999999,0.2286072769871359,False
