curve,step,cum_tokens_sold,cum_tokens_frac_of_float,cum_parent_released,fdv_parent,drawdown
WALL_LIKE,0,0.0,0.0,0.0,1000000000.0,0.0
WALL_LIKE,1,8496959.502394047,0.01,8203861.965834096,933600936.0896153,0.06639906391038464
WALL_LIKE,2,16993919.004788093,0.02,15871739.583025787,873602073.9486358,0.12639792605136413
WALL_LIKE,3,25490878.50718214,0.03,23054497.612211294,819206530.278531,0.18079346972146904
WALL_LIKE,4,33987838.00957619,0.04,29796762.096635934,769737692.7021103,0.23026230729788966
WALL_LIKE,5,42484797.51197024,0.05,36137848.40246052,724618077.0133964,0.2753819229866036
WALL_LIKE,6,50981757.01436429,0.060000000000000005,42114116.10185856,685815265.2740848,0.31418473472591524
WALL_LIKE,7,59478716.51675834,0.07,47839496.72154496,663019297.5140778,0.33698070248592227
WALL_LIKE,8,67975676.01915239,0.08000000000000002,53376125.36511029,641341304.5879483,0.35865869541205164
WALL_LIKE,9,76472635.52154644,0.09000000000000002,58733184.71257643,620709359.295757,0.3792906407042429
WALL_LIKE,10,84969595.02394049,0.10000000000000002,63919271.30594014,601057227.2320627,0.3989427727679373
WALL_LIKE,11,93466554.52633454,0.11000000000000003,68942441.58169045,582323834.5433861,0.4176761654566139
WALL_LIKE,12,101963514.02872859,0.12000000000000004,73810253.63220054,564452792.8489072,0.43554720715109274
WALL_LIKE,13,110460473.53112264,0.13000000000000003,78529805.15129907,547391974.4141269,0.4526080255858731
WALL_LIKE,14,118957433.03351669,0.14000000000000004,83107767.96468776,531093131.5929981,0.4689068684070019
WALL_LIKE,15,127454392.53591074,0.15000000000000005,87550419.49850258,515511555.3440186,0.4844884446559814
WALL_LIKE,16,135951352.03830478,0.16000000000000003,91863671.4981541,500605768.30157346,0.49939423169842656
WALL_LIKE,17,144448311.54069883,0.17000000000000004,96053096.27373885,486337248.46331525,0.5136627515366847
WALL_LIKE,18,152945271.04309288,0.18000000000000005,100123950.71703447,472670180.05245966,0.5273298199475404
WALL_LIKE,19,161442230.54548693,0.19000000000000006,104081198.3077414,459571228.54294956,0.5404287714570504
WALL_LIKE,20,169939190.04788098,0.20000000000000004,107929529.30266978,447009337.2058913,0.5529906627941087
WALL_LIKE,21,178436149.55027503,0.21000000000000005,111673379.28053555,434955542.8561683,0.5650444571438317
WALL_LIKE,22,186933109.05266908,0.22000000000000006,115316946.19652936,423382808.75601566,0.5766171912439844
WALL_LIKE,23,195430068.55506313,0.23000000000000007,118864206.08452283,412265872.87373036,0.5877341271262697
WALL_LIKE,24,203927028.05745718,0.24000000000000007,122318927.53039002,401581109.9058178,0.5984188900941823
WALL_LIKE,25,212423987.55985123,0.25000000000000006,125684685.02720359,391306405.65411264,0.6086935943458873
WALL_LIKE,26,220920947.06224528,0.26000000000000006,128964871.31180122,381421042.5095122,0.6185789574904879
WALL_LIKE,27,229417906.56463933,0.2700000000000001,132162708.77222618,371905594.9340939,0.6280944050659061
WALL_LIKE,28,237914866.06703338,0.2800000000000001,135281260.00667036,362741833.95625323,0.6372581660437467
WALL_LIKE,29,246411825.56942743,0.2900000000000001,138323437.6066479,353912639.8014213,0.6460873601985787
WALL_LIKE,30,254908785.07182148,0.3000000000000001,141292013.23009154,345401921.875858,0.6545980781241421
