siblings,scenario,trials,p_winner_not_top1,p_winner_out_of_money,winner_final_share,winner_purse_usd_30d,siblings_purse_usd_30d,v2_winner_purse_usd_30d,v3_over_v2_winner
3,honest,50,0.02,0.0,0.5982177901534761,492.78702538037686,331.3887987954473,824.1758241758241,0.5979149241281906
3,dump50,50,0.8,0.42,0.2637494935286092,139.62813811749103,684.5476860583329,824.1758241758241,0.16941547424922246
3,dump90,50,0.7,0.36,0.31057187129247693,165.53590749376096,658.6399166820629,824.1758241758241,0.2008502344257633
3,rally,50,0.22,0.0,0.5712533347153842,487.77084532417825,336.40497885164586,824.1758241758241,0.5918286256600029
3,whale,50,0.02,0.0,0.6101611768307362,496.957196849033,327.2186273267911,824.1758241758241,0.6029747321768267
6,honest,50,0.1,0.0,0.5833265149115068,481.1320998968167,343.0437242790074,824.1758241758241,0.583773614541471
6,dump50,50,0.94,0.8,0.09850817362715036,78.762340645097,745.4134835307268,824.1758241758241,0.09556497331605103
6,dump90,50,0.88,0.72,0.13719701918594746,84.31470231110622,739.8611218647176,824.1758241758241,0.10230183880414222
6,rally,50,0.44,0.0,0.524254857240119,465.97343135732757,358.2023928184965,824.1758241758241,0.5653810967135575
6,whale,50,0.02,0.0,0.5765239096943925,470.27698927147765,353.8988349043464,824.1758241758241,0.5706027469827263
12,honest,50,0.02,0.0,0.5733090820841014,473.05785922793336,351.1179649478907,824.1758241758241,0.5739768691965592
12,dump50,50,0.98,0.94,0.02832130993427244,53.07124629712852,771.1045778786952,824.1758241758241,0.06439311217384927
12,dump90,50,0.96,0.84,0.07074218093513983,65.03557751363991,759.1402466621838,824.1758241758241,0.0789098340498831
12,rally,50,0.5,0.0,0.5019657543647075,451.1860749662017,372.98974920962246,824.1758241758241,0.5474391042923248
12,whale,50,0.0,0.0,0.5722378709075062,465.4803849831099,358.6954391927143,824.1758241758241,0.5647828671128401
