round_n,D_human,W_human,challenger_capital_parent,challenger_score_parent,honest_spread_score_parent,p_challenger_wins,hold_seconds,fee_usd,carry_usd,rival_sell_cost_usd,total_cost_usd
1,15 min,15 min,13000000.0,10992999.894237561,6495125.0,0.8125,1080.0,2.4375,2.03125,499.3125264406097,503.7812764406097
2,15 min,15 min,13000000.0,10753329.881546069,6495125.0,0.79,1080.0,2.4375,2.03125,559.2300296134828,563.6987796134828
3,30 min,15 min,13000000.0,10913109.890007064,9742687.5,0.805,1080.0,2.4375,2.03125,519.2850274982341,523.7537774982341
4,30 min,15 min,13000000.0,11072889.898468059,9742687.5,0.82,1080.0,2.4375,2.03125,479.34002538298535,483.80877538298535
5,1 h,15 min,13000000.0,10540289.87026474,11366468.75,0.77,1080.0,2.4375,2.03125,612.4900324338148,616.9587824338148
6,1 h,15 min,13000000.0,10540289.87026474,11366468.75,0.77,1080.0,2.4375,2.03125,612.4900324338148,616.9587824338148
7,2 h,15 min,13000000.0,11019629.895647727,12178359.375,0.815,1080.0,2.4375,2.03125,492.65502608806827,497.12377608806827
8,2 h,15 min,13000000.0,10646809.875905406,12178359.375,0.78,1080.0,2.4375,2.03125,585.8600310236486,590.3287810236486
9,4 h,15 min,13000000.0,11072889.898468059,12584304.6875,0.82,1080.0,2.4375,2.03125,479.34002538298535,483.80877538298535
10,4 h,15 min,13000000.0,10620179.87449524,12584304.6875,0.7775,1080.0,2.4375,2.03125,592.51753137619,596.98628137619
11,8 h,15 min,13000000.0,10859849.887186732,12787277.34375,0.8,1080.0,2.4375,2.03125,532.6000282033169,537.0687782033169
12,8 h,15 min,13000000.0,10992999.894237561,12787277.34375,0.8125,1080.0,2.4375,2.03125,499.3125264406097,503.7812764406097
13,12 h,15 min,13000000.0,10779959.882956233,12854934.895833332,0.7925,1080.0,2.4375,2.03125,552.5725292609418,557.0412792609418
14,12 h,15 min,13000000.0,10779959.882956233,12854934.895833332,0.7925,1080.0,2.4375,2.03125,552.5725292609418,557.0412792609418
