demand_exponent,round_n,D_human,mean_best_avg_parent,fail_rate_at_H0,winner_float_sold,curve_capacity_used
-0.5,1,15 min,14087197.30683639,0.005,0.9813023763149589,0.08925060978148153
-0.5,7,2 h,5404589.947180948,0.52,0.9205461157498094,0.03424122896118437
-0.5,13,12 h,2021163.8339426988,1.0,0.7941230657731729,0.01280525151444576
0.0,1,15 min,13676774.561570458,0.01,0.9804730126548878,0.0866503423552989
0.0,7,2 h,14597176.805254348,0.0,0.9821841265415459,0.0924816272946506
0.0,13,12 h,13316275.931958929,0.0,0.980124152394974,0.08436637331465777
0.5,1,15 min,14436064.591884695,0.005,0.982212145372313,0.09146088747158392
0.5,7,2 h,42008378.7426691,0.0,0.9983930108870284,0.2661475762034762
0.5,13,12 h,101417475.42334625,0.0,0.9996812974613928,0.642538847641427
1.0,1,15 min,14299056.491209157,0.01,0.9806204243443254,0.09059286125856565
1.0,7,2 h,113506993.66175377,0.0,0.9997502412827545,0.7191329955929565
1.0,13,12 h,657408254.3974717,0.0,1.0,4.165064654264455
