round_n,D_s,D_human,R_s,late_entry_s,demand_scale,head_demand_parent,head_demand_usd,mean_best_avg_parent,threshold_H0_parent,fail_rate_at_H0,fail_rate_at_floor,winner_float_sold,curve_capacity_used
1,900.0,15 min,180.0,0.0,1.0,26374666.25456844,6593.66656364211,13187333.12728422,5000000.0,0.0,0.0,0.9791368621144553,0.08354944545502117
2,900.0,15 min,180.0,0.0,1.0,30351662.040660813,7587.915510165203,15175831.020330407,5000000.0,0.005,0.0,0.9832881663107779,0.09614773918499091
3,1800.0,30 min,360.0,0.0,1.4142135623730951,40671137.03743857,10167.784259359643,20335568.518719286,5000000.0,0.0,0.0,0.990314731837215,0.128837685099222
4,1800.0,30 min,360.0,0.0,1.4142135623730951,40699851.323187456,10174.962830796863,20349925.661593728,5000000.0,0.0,0.0,0.9909004281540781,0.12892864597159098
5,3600.0,1 h,720.0,1200.0,2.0,58643339.484978855,14660.834871244713,29321669.742489427,5000000.0,0.0,0.0,0.9964998790133205,0.18576987652883958
6,3600.0,1 h,720.0,1200.0,2.0,55876338.286422655,13969.084571605665,27938169.143211327,5000000.0,0.0,0.0,0.995815200015154,0.17700459345449143
7,7200.0,2 h,1440.0,2400.0,2.8284271247461903,86335760.04364082,21583.940010910206,43167880.02182041,5000000.0,0.0,0.0,0.9982461183764739,0.27349369296131004
8,7200.0,2 h,1440.0,2400.0,2.8284271247461903,76275395.20497727,19068.84880124432,38137697.60248864,5000000.0,0.0,0.0,0.9978652766738495,0.2416245540219712
9,14400.0,4 h,2880.0,4800.0,4.0,106744842.63949592,26686.21065987398,53372421.31974796,5000000.0,0.0,0.0,0.9990237334109228,0.33814541278483806
10,14400.0,4 h,2880.0,4800.0,4.0,111502584.55233726,27875.646138084314,55751292.27616863,5000000.0,0.0,0.0,0.9990342589508241,0.35321694751438754
11,28800.0,8 h,3600.0,9600.0,5.656854249492381,161228788.1933303,40307.19704833257,80614394.09666514,5000000.0,0.0,0.0,0.9995145209290139,0.5107391962772052
12,28800.0,8 h,3600.0,9600.0,5.656854249492381,152434812.28874564,38108.703072186414,76217406.14437282,5000000.0,0.0,0.0,0.9994882048333161,0.4828817135291306
13,43200.0,12 h,3600.0,14400.0,6.928203230275509,198861438.6468956,49715.359661723895,99430719.3234478,5000000.0,0.0,0.0,0.9996963283812331,0.6299515891867616
14,43200.0,12 h,3600.0,14400.0,6.928203230275509,196089669.92174587,49022.41748043647,98044834.96087293,5000000.0,0.0,0.0,0.9996709805576711,0.621171203581855
