D_human,strategy,end_rule,capital_x_A_BASE,flip_rate
15 min,last_second,fixed,0.25,0.006
15 min,last_second,fixed,0.5,0.004
15 min,last_second,fixed,1.0,0.024
15 min,last_second,fixed,2.0,0.037
15 min,last_second,random,0.25,0.0
15 min,last_second,random,0.5,0.001
15 min,last_second,random,1.0,0.002
15 min,last_second,random,2.0,0.001
15 min,spread_3min,fixed,0.25,0.05
15 min,spread_3min,fixed,0.5,0.11
15 min,spread_3min,fixed,1.0,0.182
15 min,spread_3min,fixed,2.0,0.342
15 min,spread_3min,random,0.25,0.019
15 min,spread_3min,random,0.5,0.041
15 min,spread_3min,random,1.0,0.076
15 min,spread_3min,random,2.0,0.137
15 min,window_sniper,fixed,0.25,0.451
15 min,window_sniper,fixed,0.5,0.733
15 min,window_sniper,fixed,1.0,0.93
15 min,window_sniper,fixed,2.0,0.992
15 min,window_sniper,random,0.25,0.482
15 min,window_sniper,random,0.5,0.735
15 min,window_sniper,random,1.0,0.927
15 min,window_sniper,random,2.0,0.992
12 h,last_second,fixed,0.25,0.003
12 h,last_second,fixed,0.5,0.005
12 h,last_second,fixed,1.0,0.015
12 h,last_second,fixed,2.0,0.03
12 h,last_second,random,0.25,0.0
12 h,last_second,random,0.5,0.0
12 h,last_second,random,1.0,0.0
12 h,last_second,random,2.0,0.0
12 h,spread_3min,fixed,0.25,0.03
12 h,spread_3min,fixed,0.5,0.068
12 h,spread_3min,fixed,1.0,0.097
12 h,spread_3min,fixed,2.0,0.206
12 h,spread_3min,random,0.25,0.008
12 h,spread_3min,random,0.5,0.016
12 h,spread_3min,random,1.0,0.041
12 h,spread_3min,random,2.0,0.073
12 h,window_sniper,fixed,0.25,0.252
12 h,window_sniper,fixed,0.5,0.463
12 h,window_sniper,fixed,1.0,0.736
12 h,window_sniper,fixed,2.0,0.934
12 h,window_sniper,random,0.25,0.24
12 h,window_sniper,random,0.5,0.424
12 h,window_sniper,random,1.0,0.688
12 h,window_sniper,random,2.0,0.913
