D_human,strategy,end_rule,capital_x_A_BASE,capital_parent,net_parent_in,expected_score_gain_parent,score_gain_vs_H0,fraction_of_capital_that_scores,round_trip_loss_parent,round_trip_loss_usd,expected_wasted_cost_usd
15 min,last_second,fixed,0.25,3250000.0,3247562.5,36084.02777777778,0.007216805555555556,1.0,4873.171875000466,1.2182929687501165,0.0
15 min,last_second,fixed,0.5,6500000.0,6495125.0,72168.05555555556,0.014433611111111112,1.0,9746.34375,2.4365859375,0.0
15 min,last_second,fixed,1.0,13000000.0,12990250.0,144336.11111111112,0.028867222222222225,1.0,19492.687500001863,4.873171875000466,0.0
15 min,last_second,fixed,2.0,26000000.0,25980500.0,288672.22222222225,0.05773444444444445,1.0,38985.375,9.74634375,0.0
15 min,last_second,random,0.25,3250000.0,3247562.5,1002.3341049382716,0.00020046682098765433,0.05555555555555555,4873.171875000466,1.2182929687501165,1.1506100260417766
15 min,last_second,random,0.5,6500000.0,6495125.0,2004.6682098765432,0.00040093364197530865,0.05555555555555555,9746.34375,2.4365859375,2.301220052083333
15 min,last_second,random,1.0,13000000.0,12990250.0,4009.3364197530864,0.0008018672839506173,0.05555555555555555,19492.687500001863,4.873171875000466,4.602440104167107
15 min,last_second,random,2.0,26000000.0,25980500.0,8018.672839506173,0.0016037345679012346,0.05555555555555555,38985.375,9.74634375,9.204880208333332
15 min,spread_3min,fixed,0.25,3250000.0,3247562.5,324756.25,0.06495125,1.0,4873.171875000466,1.2182929687501165,0.0
15 min,spread_3min,fixed,0.5,6500000.0,6495125.0,649512.5,0.1299025,1.0,9746.34375,2.4365859375,0.0
15 min,spread_3min,fixed,1.0,13000000.0,12990250.0,1299025.0,0.259805,1.0,19492.687500001863,4.873171875000466,0.0
15 min,spread_3min,fixed,2.0,26000000.0,25980500.0,2598050.0,0.51961,1.0,38985.375,9.74634375,0.0
15 min,spread_3min,random,0.25,3250000.0,3247562.5,216504.16666666666,0.04330083333333333,0.5,4873.171875000466,1.2182929687501165,0.6091464843750583
15 min,spread_3min,random,0.5,6500000.0,6495125.0,433008.3333333333,0.08660166666666666,0.5,9746.34375,2.4365859375,1.21829296875
15 min,spread_3min,random,1.0,13000000.0,12990250.0,866016.6666666666,0.17320333333333332,0.5,19492.687500001863,4.873171875000466,2.436585937500233
15 min,spread_3min,random,2.0,26000000.0,25980500.0,1732033.3333333333,0.34640666666666664,0.5,38985.375,9.74634375,4.873171875
